ticker,spot_price,spot_timestamp,earnings_date,earnings_timing,days_to_earnings,expiration,days_to_expiry,option_type,strike,bid,ask,mid,last_price,implied_vol,delta,gamma,vega,theta,rho,open_interest,volume,contract_symbol,in_the_money
AMAT,435.44,2026-05-10 15:35:41.410493,2026-05-15,BMO,5,2026-05-15,5,call,465.0,8.35,9.7,9.02,7.98,0.8912,0.2838,0.00746,0.1727,-1.5531,0.0159,51,82.0,AMAT260515C00465000,False
AMAT,435.44,2026-05-10 15:35:41.410493,2026-05-15,BMO,5,2026-05-15,5,call,467.5,7.7,9.0,8.35,7.9,0.8894,0.2662,0.007242,0.1673,-1.5014,0.0149,3,9.0,AMAT260515C00467500,False
AMAT,435.44,2026-05-10 15:35:41.410493,2026-05-15,BMO,5,2026-05-15,5,call,470.0,7.0,8.0,7.5,7.55,0.8759,0.2458,0.007055,0.1605,-1.4181,0.0138,3089,281.0,AMAT260515C00470000,False
AMAT,435.44,2026-05-10 15:35:41.410493,2026-05-15,BMO,5,2026-05-15,5,call,472.5,6.4,7.45,6.93,6.15,0.875,0.2295,0.006802,0.1546,-1.3642,0.0129,8,413.0,AMAT260515C00472500,False
AMAT,435.44,2026-05-10 15:35:41.410493,2026-05-15,BMO,5,2026-05-15,5,call,475.0,5.05,7.15,6.1,5.85,0.8574,0.2089,0.006575,0.1464,-1.2662,0.0118,28,146.0,AMAT260515C00475000,False
AMAT,435.44,2026-05-10 15:35:41.410493,2026-05-15,BMO,5,2026-05-15,5,put,402.5,5.75,7.05,6.4,6.54,0.8575,-0.2004,0.006414,0.1429,-1.2138,-0.0127,56,53.0,AMAT260515P00402500,False
AMAT,435.44,2026-05-10 15:35:41.410493,2026-05-15,BMO,5,2026-05-15,5,put,405.0,6.35,8.0,7.17,7.05,0.8643,-0.2197,0.006718,0.1508,-1.2908,-0.0139,248,92.0,AMAT260515P00405000,False
AMAT,435.44,2026-05-10 15:35:41.410493,2026-05-15,BMO,5,2026-05-15,5,put,407.5,7.15,8.3,7.73,8.15,0.8553,-0.2362,0.007069,0.157,-1.3298,-0.015,153,79.0,AMAT260515P00407500,False
AMAT,435.44,2026-05-10 15:35:41.410493,2026-05-15,BMO,5,2026-05-15,5,put,410.0,7.8,9.75,8.78,8.55,0.8713,-0.2587,0.007286,0.1649,-1.4219,-0.0164,1399,103.0,AMAT260515P00410000,False
AMAT,435.44,2026-05-10 15:35:41.410493,2026-05-15,BMO,5,2026-05-15,5,put,412.5,8.25,10.75,9.5,9.21,0.8668,-0.2775,0.007587,0.1708,-1.4648,-0.0176,108,13.0,AMAT260515P00412500,False
AMAT,435.44,2026-05-10 15:35:41.410493,2026-05-15,BMO,5,2026-05-15,5,put,415.0,9.5,11.5,10.5,10.3,0.874,-0.299,0.007794,0.1769,-1.5294,-0.0191,52,51.0,AMAT260515P00415000,False
ADBE,253.04,2026-05-10 15:35:44.478260,2026-06-12,BMO,33,2026-06-12,33,call,280.0,5.5,6.9,6.2,6.22,0.5015,0.2847,0.008893,0.2582,-0.2043,0.0595,29,8.0,ADBE260612C00280000,False
ADBE,253.04,2026-05-10 15:35:44.478260,2026-06-12,BMO,33,2026-06-12,33,call,285.0,4.2,5.7,4.95,4.9,0.5246,0.258,0.008095,0.2458,-0.2027,0.0538,60,4.0,ADBE260612C00285000,False
ADBE,253.04,2026-05-10 15:35:44.478260,2026-06-12,BMO,33,2026-06-12,33,call,290.0,3.45,4.75,4.1,4.05,0.5247,0.2238,0.00749,0.2275,-0.1872,0.0469,22,33.0,ADBE260612C00290000,False
ADBE,253.04,2026-05-10 15:35:44.478260,2026-06-12,BMO,33,2026-06-12,33,put,230.0,5.7,7.0,6.35,7.0,0.5167,-0.2363,0.00784,0.2345,-0.1755,-0.0594,47,3.0,ADBE260612P00230000,False
ADBE,253.04,2026-05-10 15:35:44.478260,2026-06-12,BMO,33,2026-06-12,33,put,235.0,7.05,8.3,7.68,7.89,0.5056,-0.2778,0.008717,0.2552,-0.1859,-0.07,30,15.0,ADBE260612P00235000,False
NFLX,87.49,2026-05-10 15:35:46.252352,2026-07-17,BMO,68,2026-07-17,68,call,100.0,1.67,1.73,1.7,1.68,0.3718,0.2419,0.022234,0.1179,-0.0346,0.036,47952,6947.0,NFLX260717C00100000,False
NFLX,87.49,2026-05-10 15:35:46.252352,2026-07-17,BMO,68,2026-07-17,68,put,80.0,2.09,2.17,2.13,2.14,0.3488,-0.2341,0.023282,0.1158,-0.0269,-0.0418,22050,200.0,NFLX260717P00080000,False
